DATE,거래단위,평균가격,총거래물량,총거래금액,도매시장,도매법인,품목,품종,산지-광역시도,산지-시군구,등급
2025-07-14,20kg상자,"117,047","7,960","46,584,800",안동도매시장,안동청과,사과,미얀마,경북,청송군,상
2025-07-14,20kg상자,"29,193","7,600","11,093,500",안동도매시장,안동청과,사과,썸머킹,경북,의성군,보통
2025-07-14,20kg상자,"123,129","7,160","44,080,300",안동도매시장,안동청과,사과,미얀마,경북,안동시,상
2025-07-14,20kg상자,"72,684","6,180","22,459,500",안동도매시장,안동청과,사과,미얀마,경북,청송군,보통
2025-07-14,20kg상자,"88,837","5,840","25,940,300",안동도매시장,안동청과,사과,미얀마,경북,안동시,보통
2025-07-14,20kg상자,"31,422","5,820","9,143,900",안동도매시장,안동농협(공),사과,미얀마,경북,안동시,보통
2025-07-14,20kg상자,"103,996","5,340","27,766,900",안동도매시장,안동청과,사과,미얀마,경북,의성군,상
2025-07-14,20kg상자,"86,340","4,620","19,944,600",안동도매시장,안동농협(공),사과,미얀마,경북,안동시,.
2025-07-14,20kg상자,"63,597","3,960","12,592,200",안동도매시장,안동청과,사과,미얀마,경북,의성군,보통
2025-07-14,20kg상자,"78,761","3,900","15,358,400",안동도매시장,안동청과,사과,썸머킹,경북,포항시,상
2025-07-14,20kg상자,"37,784","3,840","7,254,500",안동도매시장,안동청과,사과,썸머킹,경북,포항시,보통
2025-07-14,20kg상자,"154,172","3,720","28,676,000",안동도매시장,안동청과,사과,미얀마,경북,안동시,5등
2025-07-14,20kg상자,"74,569","3,160","11,781,900",안동도매시장,안동농협(공),사과,미얀마,경상북도,청송군,.
2025-07-14,20kg상자,"27,094","3,160","4,280,800",안동도매시장,안동청과,사과,썸머킹,경북,문경시,보통
2025-07-14,20kg상자,"156,416","2,900","22,680,300",안동도매시장,안동청과,사과,미얀마,경북,청송군,5등
2025-07-14,20kg상자,"73,244","2,660","9,741,500",안동도매시장,안동농협(공),사과,미얀마,경상북도,청송군,상
2025-07-14,20kg상자,"27,688","2,520","3,488,700",안동도매시장,안동농협(공),사과,미얀마,경상북도,청송군,보통
2025-07-14,20kg상자,"29,799","2,500","3,724,900",안동도매시장,안동농협(공),사과,미얀마,경북,영주시,보통
2025-07-14,20kg상자,"54,826","2,260","6,195,300",안동도매시장,안동청과,사과,미얀마,강원,정선군,보통
2025-07-14,20kg상자,"151,129","2,200","16,624,200",안동도매시장,안동청과,사과,미얀마,경북,청송군,6등
2025-07-14,20kg상자,"147,988","2,200","16,278,700",안동도매시장,안동청과,사과,미얀마,경북,안동시,6등
2025-07-14,20kg상자,"126,642","2,000","12,664,200",안동도매시장,안동농협(공),사과,기타사과,경상남도,거창군,7등
2025-07-14,20kg상자,"31,564","1,960","3,093,300",안동도매시장,안동청과,사과,썸머킹,경북,안동시,보통
2025-07-14,20kg상자,"48,185","1,860","4,481,200",안동도매시장,안동농협(공),사과,기타사과,경북,영주시,.
2025-07-14,20kg상자,"128,560","1,800","11,570,400",안동도매시장,안동청과,사과,미얀마,경북,영주시,상
2025-07-14,20kg상자,"142,857","1,780","12,714,300",안동도매시장,안동농협(공),사과,기타사과,경상남도,거창군,6등
2025-07-14,20kg상자,"71,017","1,720","6,107,500",안동도매시장,안동청과,사과,썸머킹,경북,문경시,상
2025-07-14,20kg상자,"40,104","1,700","3,408,800",안동도매시장,안동농협(공),사과,기타사과,경북,안동시,.
2025-07-14,20kg상자,"65,169","1,620","5,278,700",안동도매시장,안동청과,사과,썸머킹,경북,안동시,상
2025-07-14,20kg상자,"119,433","1,600","9,554,600",안동도매시장,안동청과,사과,미얀마,강원,정선군,상
2025-07-14,20kg상자,"83,045","1,560","6,477,500",안동도매시장,안동청과,사과,미얀마,경북,영주시,보통
2025-07-14,20kg상자,"86,043","1,520","6,539,300",안동도매시장,안동농협(공),사과,미얀마,경북,영주시,.
2025-07-14,20kg상자,"112,447","1,500","8,433,500",안동도매시장,안동청과,사과,썸머킹,경북,문경시,7등
2025-07-14,20kg상자,"67,061","1,500","5,029,600",안동도매시장,안동농협(공),사과,미얀마,경북,영주시,상
2025-07-14,20kg상자,"65,331","1,500","4,899,800",안동도매시장,안동농협(공),사과,기타사과,경상북도,군위군,.
2025-07-14,20kg상자,"160,689","1,440","11,569,600",안동도매시장,안동청과,사과,미얀마,경북,의성군,5등
2025-07-14,20kg상자,"120,744","1,440","8,693,600",안동도매시장,안동농협(공),사과,미얀마,전라북도,무주군,.
2025-07-14,20kg상자,"158,544","1,420","11,256,600",안동도매시장,안동청과,사과,미얀마,경북,의성군,6등
2025-07-14,20kg상자,"93,050","1,400","6,513,500",안동도매시장,안동농협(공),사과,미얀마,경북,안동시,상
2025-07-14,20kg상자,"114,622","1,380","7,908,900",안동도매시장,안동청과,사과,썸머킹,경북,포항시,7등
2025-07-14,20kg상자,"31,966","1,360","2,173,700",안동도매시장,안동청과,사과,썸머프린스,경북,문경시,보통
2025-07-14,20kg상자,"104,385","1,300","6,785,000",안동도매시장,안동농협(공),사과,기타사과,경상남도,거창군,8등
2025-07-14,20kg상자,"133,021","1,260","8,380,300",안동도매시장,안동청과,사과,썸머킹,경북,포항시,6등
2025-07-14,20kg상자,"113,943","1,200","6,836,600",안동도매시장,안동농협(공),사과,기타사과,경상남도,거창군,특
2025-07-14,20kg상자,"34,430","1,200","2,065,800",안동도매시장,안동청과,사과,썸머킹,경북,예천군,보통
2025-07-14,20kg상자,"133,153","1,180","7,856,000",안동도매시장,안동청과,사과,썸머킹,경북,문경시,6등
2025-07-14,20kg상자,"113,931","1,180","6,721,900",안동도매시장,안동농협(공),사과,미얀마,전라북도,무주군,상
2025-07-14,20kg상자,"54,012","1,140","3,078,700",안동도매시장,안동청과,사과,썸머킹,경북,포항시,등외
2025-07-14,20kg상자,"107,221","1,120","6,004,400",안동도매시장,안동청과,사과,썸머킹,경북,포항시,8등
2025-07-14,20kg상자,"141,000","1,100","7,755,000",안동도매시장,안동청과,사과,썸머프린스,경북,의성군,6등
2025-07-14,20kg상자,"129,835","1,100","7,140,900",안동도매시장,안동농협(공),사과,기타사과,경북,영주시,7등
2025-07-14,20kg상자,"36,198","1,100","1,990,900",안동도매시장,안동청과,사과,썸머킹,경남,거창군,상
2025-07-14,20kg상자,"68,576","1,080","3,703,100",안동도매시장,안동농협(공),사과,기타사과,경상남도,거창군,.
2025-07-14,20kg상자,"137,215","1,060","7,272,400",안동도매시장,안동청과,사과,미얀마,경북,청송군,7등
2025-07-14,20kg상자,"32,396","1,060","1,717,000",안동도매시장,안동농협(공),사과,기타사과,경상북도,군위군,보통
2025-07-14,20kg상자,"115,608","1,000","5,780,400",안동도매시장,안동청과,사과,썸머킹,경북,안동시,7등
2025-07-14,20kg상자,"32,600","1,000","1,630,000",안동도매시장,안동청과,사과,썸머킹,전북,무주군,보통
