,도매GB,경북농장,도매JI,도매BT
2025. 5. 26,0.16%,0.00%,0.00%,0.00%
2025. 5. 27,0.60%,0.00%,0.00%,0.00%
2025. 5. 28,0.00%,,0.00%,0.00%
2025. 5. 29,0.59%,0.00%,0.00%,0.00%
2025. 5. 30,0.00%,0.00%,0.00%,
2025. 6. 4,0.16%,0.00%,0.00%,0.00%
2025. 6. 8,0.00%,,,
2025. 6. 9,0.07%,0.00%,0.00%,0.00%
2025. 6. 10,0.00%,0.00%,0.00%,
2025. 6. 11,0.43%,0.00%,0.00%,0.00%
2025. 6. 12,0.00%,0.00%,0.00%,0.00%
2025. 6. 13,0.00%,0.00%,0.00%,0.00%
2025. 6. 16,0.39%,,0.00%,
2025. 6. 17,0.20%,,,
2025. 6. 18,0.23%,,100.00%,
2025. 6. 19,0.00%,0.00%,0.00%,
2025. 6. 20,0.00%,0.00%,,
2025. 6. 23,0.00%,0.00%,,
2025. 6. 24,0.12%,0.00%,,
2025. 6. 25,0.15%,0.00%,,
2025. 6. 26,0.45%,0.00%,,
2025. 6. 27,1.87%,,,
2025. 6. 30,0.47%,,,
2025. 7. 1,0.34%,,,
2025. 7. 2,0.24%,,,
2025. 7. 3,0.00%,,,
2025. 7. 4,0.00%,,,
2025. 7. 7,0.24%,,,
2025. 7. 8,0.00%,,,
2025. 7. 9,0.00%,,,
2025. 7. 10,0.52%,,,
2025. 7. 11,0.00%,,,
2025. 7. 14,0.00%,,,
